 Name,AdaBoost,\makecell{Decision\\ Tree,Gaussian NB,Gaussian Process,\makecell{Logitic\\ Regression,MLP,\makecell{Random\\ Forest,\MethodName [0.5ex] 
 \hline
ECG200,0.119,0.116,0.119,0.136,0.113,0.132,0.132,0.132
electricity-normalized,0.148,0.114,0.097,0.092,0.071,0.152,0.164,0.162
FordA,0.053,0.110,0.069,0.151,0.053,0.200,0.163,0.200
fri-c0-1000-10,0.151,0.033,0.130,0.151,0.088,0.167,0.113,0.167
fri-c0-1000-50,0.174,0.109,0.143,0.030,0.130,0.100,0.165,0.148
phoneme,0.087,0.112,0.066,0.174,0.029,0.145,0.198,0.190
wind,0.175,0.033,0.063,0.125,0.154,0.100,0.167,0.183
Yoga,0.103,0.099,0.029,0.202,0.058,0.169,0.149,0.190
Strawberry,0.107,0.067,0.040,0.187,0.147,0.173,0.107,0.173
HandOutlines,0.111,0.066,0.070,0.176,0.115,0.131,0.160,0.172
FordB,0.069,0.106,0.061,0.155,0.049,0.196,0.163,0.200
PhalangesOutlinesCorrect,0.113,0.101,0.055,0.185,0.063,0.122,0.185,0.176
wafer,0.128,0.099,0.044,0.176,0.070,0.165,0.143,0.176
DistalPhalanxOutlineCorrect,0.145,0.145,0.081,0.141,0.073,0.137,0.125,0.153
ECGFiveDays,0.127,0.073,0.070,0.157,0.147,0.143,0.123,0.160
ItalyPowerDemand,0.134,0.105,0.077,0.134,0.144,0.137,0.134,0.134
MoteStrain,0.144,0.095,0.053,0.148,0.049,0.123,0.193,0.193
ProximalPhalanxOutlineCorrect,0.115,0.111,0.049,0.189,0.111,0.078,0.160,0.189
SonyAIBORobotSurface2,0.137,0.070,0.043,0.172,0.113,0.137,0.152,0.176
TwoLeadECG,0.117,0.078,0.053,0.167,0.145,0.152,0.124,0.163
Chinatown,0.137,0.120,0.144,0.074,0.127,0.090,0.154,0.154
FreezerRegularTrain,0.117,0.087,0.064,0.154,0.161,0.141,0.124,0.151
PowerCons,0.116,0.128,0.105,0.139,0.139,0.102,0.134,0.136
DiatomSizeReduction,0.128,0.123,0.128,0.125,0.125,0.117,0.125,0.128
StarLightCurves,0.127,0.111,0.121,0.129,0.129,0.129,0.127,0.127
TwoPatterns,0.090,0.106,0.033,0.171,0.110,0.098,0.200,0.192
EthanolLevel,0.143,0.090,0.090,0.066,0.148,0.123,0.160,0.180
DistalPhalanxTW,0.085,0.081,0.140,0.120,0.124,0.109,0.167,0.174
Mallat,0.144,0.087,0.045,0.148,0.083,0.163,0.163,0.167
MiddlePhalanxTW,0.117,0.109,0.174,0.109,0.101,0.113,0.121,0.154
OSULeaf,0.103,0.083,0.060,0.179,0.087,0.171,0.151,0.167
ProximalPhalanxTW,0.115,0.057,0.152,0.127,0.127,0.127,0.152,0.143
Symbols,0.140,0.087,0.033,0.153,0.066,0.174,0.174,0.174
SyntheticControl,0.118,0.112,0.121,0.129,0.126,0.124,0.135,0.135
UWaveGestureLibraryX,0.103,0.070,0.033,0.193,0.082,0.148,0.177,0.193
UWaveGestureLibraryY,0.098,0.102,0.049,0.197,0.037,0.143,0.176,0.197
UWaveGestureLibraryZ,0.091,0.112,0.043,0.203,0.056,0.155,0.185,0.155
MelbournePedestrian,0.132,0.128,0.123,0.033,0.095,0.111,0.185,0.193
MedicalImages,0.102,0.093,0.041,0.187,0.065,0.163,0.163,0.187
CricketX,0.109,0.085,0.061,0.190,0.069,0.154,0.150,0.182
CricketY,0.109,0.101,0.067,0.197,0.038,0.143,0.168,0.176
CricketZ,0.106,0.078,0.078,0.188,0.053,0.147,0.176,0.176
FacesUCR,0.116,0.083,0.029,0.183,0.062,0.178,0.162,0.187
InsectWingbeatSound,0.096,0.088,0.042,0.183,0.075,0.158,0.175,0.183
SwedishLeaf,0.089,0.062,0.105,0.167,0.132,0.140,0.156,0.148
EOGHorizontalSignal,0.128,0.153,0.178,0.050,0.066,0.087,0.169,0.169